"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"NCSM",21015,"27","Petromyzontidae","Ichthyomyzon greeleyi","Mills River at SR 1353 [Hooper Lane], [ca. 1.9 kilometers E center Mills River (town)]","Henderson",35.38667,-82.54611206,"North Carolina","19-Oct-94","DWQ-94-45","Vince P. Schneider, Mark Hale, Nancy Guthrie, Dave Lenat, M. Parker, P. White"
"NCSM",20072,"1","Petromyzontidae","Ichthyomyzon greeleyi","North Toe River, on Rev. Hall farm, 1.5 miles below Minneapolis, [ca. 12.1 air miles NNE center Spruce Pine]","Avery",36.0802,-81.99639893,"North Carolina","n/k","FISH4-0086","JH Collins"
"NCSM",20068,"30","Petromyzontidae","Ichthyomyzon greeleyi","[South Fork] Mills River, [near church], [ca. 15.4 kilometers WNW center Hendersonville, see remarks]","Henderson",35.38095,-82.61286163,"North Carolina","26 or 27 January 1952","B52-2","Joseph R. Bailey, E.C. Horn"
"NCSM",20065,"10","Petromyzontidae","Ichthyomyzon greeleyi","""Private farm"", 1.5 miles [WNW] Mills River Post Office, [ca. 9.2 air miles NW center Hendersonville]","Henderson",35.39814,-82.59065247,"North Carolina","19-Jun-47","FISH4-0203","Joseph R. Bailey"
"NCSM",20014,"111","Petromyzontidae","Ichthyomyzon greeleyi","Bent Creek just above mouth in French Broad River, 2.4 air miles NW Avery Creek (town), [ca. 7.0 air miles SSW center Asheville]","Buncombe",35.5019,-82.59349823,"North Carolina","27-Jun-69","FISH4-0082","Joseph R. Bailey and R Wells"
"NCSM",20013,"230","Petromyzontidae","Ichthyomyzon greeleyi","South Fork Mills River, 3.0 miles [WSW] Mills River P.O., [ca. 9.6 air miles WNW center Hendersonville]","Henderson",35.37445,-82.61734772,"North Carolina","1-Nov-52","B52-8","Joseph R. Bailey, EC Horn"
"NCSM",20011,"127","Petromyzontidae","Ichthyomyzon greeleyi","Mills River, 1 1/2 miles [WNW] Mills River Post Office, [ca. 14.7 kilometers NW center Hendersonville, see georeference remarks]","Henderson",35.39814,-82.59065247,"North Carolina","2-Aug-50","B50-17","Joseph R. Bailey, E.C. Horn, A.E. Fullerton"
"NCSM",20010,"3","Petromyzontidae","Ichthyomyzon greeleyi","South Fork Mills River, 4.8 kilometers [WSW] of Mills River, [ca. 15.5 kilometers WNW center Hendersonville]","Henderson",35.37473,-82.61734009,"North Carolina","9-Jul-49","B49-43","Joseph R. Bailey, J.R. Charles"
"NCSM",20009,"3","Petromyzontidae","Ichthyomyzon greeleyi","Mills River, 2.4 kilometers [WNW] Mills River Post Office, [ca. 14.7 kilometers NW center Hendersonville, see georeference remarks]","Henderson",35.39814,-82.59065247,"North Carolina","9-Jul-49","B49-44","Joseph R. Bailey, J.R. Charles"
"NCSM",22074,"16","Petromyzontidae","Ichthyomyzon greeleyi","Middle Creek at SR 1635 [Middle Creek Road], 0.7 air miles ESE Otto","Macon",35.05222,-83.37444305,"North Carolina","3-May-95","DWQ-95-39","Vince P. Schneider, Mark Hale, Dave L. Penrose, Nancy Guthrie, Neil Medlin and Kathy Herring"
"NCSM",64657,"2","Petromyzontidae","Ichthyomyzon greeleyi","Cane River, at US 19W & SR 1444 [Will Higgins Road], [ca. 29.9 air miles NNE center Asheville]","Yancey",36.00047,-82.35779572,"North Carolina","11-May-10","DWQ-2010-26","Bryn H. Tracy, Steve J. Fraley, A Rodgers, TR Russ, S. Michelle Simonson, E Williams"
