"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"CUMV",28929,20,"Atherinopsidae","Menidia beryllina","Albermarle Sound at bridge on north side, S of Edenton","Chowan",36.047921,-76.694641,"NC","8/29/1950","ECR 2598","Edward Raney;  William Woolcott;  E. Deubler"
"CUMV",30199,31,"Atherinopsidae","Menidia beryllina","Flanners Beach, 6 mi. N of Havelock","Craven",34.985541,-76.943926,"NC","3/24/1952","ECR 2758","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV",30544,141,"Atherinopsidae","Menidia beryllina","Mouth of Trent R. at New Bern","Craven",35.100536,-77.042037,"NC","8/3/1952","CFC 299","Charles Cole;  Rudolph Miller"
"CUMV",33477,83,"Atherinopsidae","Menidia beryllina","Neuse R. at New Bern","Craven",35.101895,-77.025023,"NC","7/11/1955","EED NC-496","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV",74926,22,"Atherinopsidae","Menidia beryllina","Knott's Island Ferry slip, Knotts Island at rt. 615 end","Currituck",36.483301,-75.926716,"NC","7/31/1963","TZ 160","Timothy Zorach;  E. Buckley"
"CUMV",15469,3,"Atherinopsidae","Menidia extensa","Lake Waccamaw","Columbus",34.287784,-78.511122,"NC","8/7/1943","EH 47AUG08","E. Hueske; North Carolina Lake Survey"
"CUMV",31939,8,"Atherinopsidae","Menidia extensa","Lake Waccamaw","Columbus",34.287784,-78.511122,"NC","8/20/1954","DEL 58AUG21","D. Louder"
"CUMV",34371,87,"Atherinopsidae","Menidia extensa","Lake Waccamaw","Columbus",34.287784,-78.511122,"NC","7/15/1955","DEL 59JUL16","D. Louder"
"CUMV",11814,3,"Atherinopsidae","Menidia extensa","Lake Waccamaw, N Shore","Columbus",34.310343,-78.539117,"NC","6/25/1942","ECR 1200","Edward Raney;  Ernest Lachner;  Robert Ross"
"CUMV",49599,2,"Atherinopsidae","Menidia extensa","Lake Waccamaw, N shore, in front of Goldston Hotel","Columbus",34.307932,-78.526672,"NC","9/5/1960","TWR 063","Timothy Robbins;  Neal Foster"
"CUMV",31866,66,"Atherinopsidae","Menidia extensa","North end of Lake Waccamaw","Columbus",34.310343,-78.539117,"NC","4/2/1954","BBC 428","Bruce Collette;  H. Howard"
"CUMV",9289,236,"Atherinopsidae","Menidia extensa","North shore Lake Waccamaw","Columbus",34.310343,-78.539117,"NC","3/29/1937","ECR 0960","Ernest Lachner;  Roman Pfeiffer;  Edward Raney"
