"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AUM","45756","31","Fundulidae","Fundulus diaphanus","North Atlantic Ocean, swamp, 1.5 miles S Buxton, Cape Hatteras National Seashore","Dare",35.24303,-75.53247,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","9188","1","Fundulidae","Fundulus diaphanus","North Atlantic Ocean, A canal of Lake Mattamuskeet","Hyde",35.452037,-76.17513,"NC","6/2/1952","",""
"AUM","38669","20","Fundulidae","Fundulus diaphanus","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, from middle of lake","Hyde",35.491772,-76.214516,"NC","","",""
"AUM","55202","94","Fundulidae","Fundulus diaphanus","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, opening in marsh","Hyde",35.491772,-76.214516,"NC","","","R Fielding"
"AUM","45909","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Cape Lookout Pond, N end of Cape Lookout National Seashore","Carteret",34.93465,-76.21389,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45845","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Ibis Pond, 4 miles SE of mooring pier","Carteret",34.66894,-76.5887,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45942","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89933,-76.25758,"NC","7/8/2004","","R Henderson, C Knight, A Kennon"
"AUM","45915","3","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89916,-76.25769,"NC","7/9/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer, R Henderson, C Knight, A Kennon"
"AUM","45850","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mudflat, 4 miles E of mooring pier","Carteret",34.67019,-76.58775,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45841","7","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45835","1","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mullet Pond, .75 miles SSE of mooring pier","Carteret",34.68433,-76.64214,"NC","8/4/2003","","Castro, G Thomas, A Kennon"
"AUM","45968","3","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village","Carteret",35.06515,-76.07588,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM","45904","20","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45713","9","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Bald Point, 0.2 miles N Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.27083,-75.51944,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45651","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45768","6","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh channel, 1.5 miles SW Frisco, Cape Hatteras National Seashore","Dare",35.22515,-75.63891,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45675","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45686","8","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45725","1","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, roadside ditch, 0.1 miles S Buxton, Cape Hatteras National Seashore","Dare",35.26383,-75.52525,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45736","86","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Tidal Creek, Cape Hatteras National Seashore","Dare",35.14047,-75.89292,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45822","11","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Island Creek, Cape Hatteras National Seashore","Hyde",35.12733,-75.92117,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45815","10","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, seagrass bed, Cape Hatteras National Seashore","Hyde",35.16381,-75.84525,"NC","8/2/2003","","Castro, A Kennon, G Thomas"
"AUM","5782","83","Fundulidae","Fundulus rathbuni","Back Cr., 2.4 airmi N of Newell, county road","Mecklenburg",35.30526,-80.707144,"NC","6/30/1970","","S Ramsey"
"AUM","53360","3","Fundulidae","Fundulus waccamensis","Waccamaw River - Winyah Bay - North Atlantic Ocean, Lake Waccamaw, 0.5 miles S of Lake Waccamaw","Columbus",34.26333,-78.48972,"NC","10/18/2001","","E Johnston, D.C. Werneke,  Atlantic Slope Class"
"AUM","45846","1","Fundulidae","Lucania parva","North Atlantic Ocean, Ibis Pond, 4 miles SE of mooring pier","Carteret",34.66894,-76.5887,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45836","3","Fundulidae","Lucania parva","North Atlantic Ocean, Mullet Pond, .75 miles SSE of mooring pier","Carteret",34.68433,-76.64214,"NC","8/4/2003","","Castro, G Thomas, A Kennon"
"AUM","45760","1","Fundulidae","Lucania parva","North Atlantic Ocean, beachside pond, 2.0 miles S Buxton, Cape Point Campground entrance, Cape Hatteras National Seashore","Dare",35.23411,-75.61039,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45652","2","Fundulidae","Lucania parva","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45658","1","Fundulidae","Lucania parva","North Atlantic Ocean, marsh pond, 1.5 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.84769,-75.57,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45676","7","Fundulidae","Lucania parva","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45687","1","Fundulidae","Lucania parva","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45741","1","Fundulidae","Lucania parva","North Atlantic Ocean, seagrass bed, 2.0 miles SW Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.26043,-75.52156,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45757","4","Fundulidae","Lucania parva","North Atlantic Ocean, swamp, 1.5 miles S Buxton, Cape Hatteras National Seashore","Dare",35.24303,-75.53247,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45722","6","Fundulidae","Lucania parva","North Atlantic Ocean, Turtle Pond, 1.0 miles SE Buxton, Cape Hatteras National Seashore","Dare",35.25514,-75.52236,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45823","1","Fundulidae","Lucania parva","North Atlantic Ocean, Island Creek, Cape Hatteras National Seashore","Hyde",35.12733,-75.92117,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45734","2","Fundulidae","Lucania parva","North Atlantic Ocean, marsh pond, Ocracoke Island.0.05 miles S ferry dock, Cape Hatteras National Seashore","Hyde",35.11664,-75.98103,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","38666","15","Fundulidae","Lucania parva","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, from middle of lake","Hyde",35.491772,-76.214516,"NC","","",""
"CAS","64351","3","Fundulidae","Fundulus heteroclitus","Greenfield Lake, stream draining lake at Wilmington","NEW HANOVER",34.207998,-77.935387,"NC","5/23/1924","","Myers, George S."
"CAS","14981","1","Fundulidae","Fundulus lineolatus","Cape Fear River at Wilmington","NEW HANOVER",34.224173,-77.952924,"NC","5/1/1924","","Myers, George S."
"CAS","66849","12","Fundulidae","Fundulus lineolatus","Lennon's Marsh; off County Route 1002,ca. 4 mi. S. of Allenton","ROBESON",34.479798,-78.8781,"NC","7/2/1968","","Freihofer, Warren C."
"CAS","36243","3","Fundulidae","Fundulus rathbuni","North Potts Creek, between Lexington and Salisbury","Davidson",35.771721,-80.32676,"NC","9/22/1940","","Gosline, William A."
"CAS","5876","5","Fundulidae","Fundulus rathbuni","Reedy Fork of Haw River at Foultz (Fulk's) Mill, 11 mi NE of Greensborough","Guilford",36.181526,-79.708807,"NC","8/25/1888","","Jordan, Jenkins, Meek"
"CAS","66929","1","Fundulidae","Fundulus waccamensis","Beach near N.C. Fish & Game office at northwest side of Lake Waccamaw.","Columbus",34.310343,-78.539117,"NC","7/1/1968","","W.C. Freihofer, J. Davis et al"
"CUMV","33585","3","Fundulidae","Fundulus diaphanus","Pamlico R., ±4.5 mi. SE of Wichard's Beach","Beaufort",35.462273,-76.956653,"NC","7/11/1955","EED NC-495","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV","74925","9","Fundulidae","Fundulus diaphanus","Knott's Island Ferry slip, Knotts Island at rt. 615 end","Currituck",36.483301,-75.926716,"NC","7/31/1963","TZ 160","Timothy Zorach;  E. Buckley"
"CUMV","73016","4","Fundulidae","Fundulus heteroclitus","Beaufort, Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/9/1911","Z73016","A. Jacot"
"CUMV","6939","1","Fundulidae","Fundulus heteroclitus","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/2/1909","FH 13AUG03","Francis Harper"
"CUMV","6938","10","Fundulidae","Fundulus heteroclitus","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/21/1909","FH 13AUG22","Francis Harper"
"CUMV","64909","1","Fundulidae","Fundulus heteroclitus","Near Core Cr.","Carteret",34.76859,-76.683978,"NC","7/9/1911","Z64909","A. Jacot"
"CUMV","30194","3","Fundulidae","Fundulus heteroclitus","Flanners Beach, 6 mi. N of Havelock","Craven",34.985541,-76.943926,"NC","3/24/1952","ECR2758","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","33488","1","Fundulidae","Fundulus heteroclitus","Neuse R. at New Bern","Craven",35.101895,-77.025023,"NC","7/11/1955","EED NC-496","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV","31807","1","Fundulidae","Fundulus lineolatus","Trib. of Big Swamp R., trib. of Lumber R., 4.7 mi. S of Dublin","Bladen",34.609511,-78.755913,"NC","4/3/1954","BBC 431","Bruce Collette;  H. Howard"
"CUMV","15648","6","Fundulidae","Fundulus lineolatus","White Lake","Bladen",34.643514,-78.498492,"NC","9/7/1943","EH 108","E. Hueske; North Carolina Lake Survey"
"CUMV","31819","1","Fundulidae","Fundulus lineolatus","White Lake","Bladen",34.643514,-78.498492,"NC","4/2/1954","BBC 426","Bruce Collette;  H. Howard"
"CUMV","14289","37","Fundulidae","Fundulus lineolatus","Canal off Waccamaw R., 1 mi. N of Waccamaw R. on Rt. 130, near Ash","Columbus",34.077553,-78.543188,"NC","3/28/1945","HEE 1521","Edward Raney;  Royal Suttkus;  Howard Evans;  Robert Roecker"
"CUMV","75101","27","Fundulidae","Fundulus lineolatus","Cypress Creek, ditch into 9 Mile Cr., 0.2 mi. N Cypress Cr. on County Rd. 1828.","Duplin",34.76115,-77.70943,"NC","10/15/1984","JMH 88-23","Julian Humphries;  Paula Mabee"
"CUMV","9753","1","Fundulidae","Fundulus lineolatus","Middleton Mill Cr., 2.5 mi. W of Kenansville","Duplin",34.962569,-77.994917,"NC","3/30/1937","ECR 0969","Roman Pfeiffer;  Ernest Lachner;  Edward Raney"
"CUMV","9883","1","Fundulidae","Fundulus lineolatus","Trib. at Sunbury on Rt. 32","Gates",36.436194,-76.610689,"NC","3/28/1937","ECR 0954","Roman Pfeiffer;  Ernest Lachner;  Edward Raney"
"CUMV","29927","1","Fundulidae","Fundulus lineolatus","Trib. of Conoho Cr., 5 mi. W of Williamston on US 64","Martin",35.828943,-77.123718,"NC","3/23/1952","ECR 2755","Edward Raney;  Charles Robins;  John New;  Bruce Collette; et al."
"CUMV","11125","17","Fundulidae","Fundulus lineolatus","Aberdeen Lake at Aberdeen","Moore",35.13969,-79.43133,"NC","6/28/1943","EEB 47JUN29","E. Brown"
"CUMV","19772","1","Fundulidae","Fundulus lineolatus","Aberdeen Cr., below dam in Aberdeen on US 1","Moore",35.127972,-79.432152,"NC","3/28/1947","ECR 1944","Edward Raney;  Richard Backus;  Charles Robins;  J. Layne; et al."
"CUMV","37874","1","Fundulidae","Fundulus lineolatus","Outlet of Watsons Lake below spillway, W of Southern Pines","Moore",35.165394,-79.435416,"NC","6/1/1957","WJR 065","William Richards;  Robert Miller;  Gilbert Bane"
"CUMV","30107","7","Fundulidae","Fundulus lineolatus","Trib. of Aberdeen Cr., 0.2 mi. S of Aberdeen on US 1","Moore",35.127972,-79.432152,"NC","3/22/1952","RJM 1002","Rudolf Miller;  T. Poulson;  J. Kaufman;  T. Savage"
"CUMV","14285","2","Fundulidae","Fundulus lineolatus","Mark Cr. at Evers Mills","Richmond",34.814846,-79.892854,"NC","3/29/1945","HEE 1531","Edward Raney;  Royal Suttkus;  Howard Evans;  Robert Roecker"
"CUMV","30204","5","Fundulidae","Fundulus lineolatus","Mingo Cr. just E of Dunn on Rt. 55","Sampson",35.297832,-78.57242,"NC","3/22/1952","RJM 1008","Rudolf Miller;  T. Poulson;  J. Kaufman;  T. Savage"
"CUMV","9217","1","Fundulidae","Fundulus lineolatus","Trib. of South R., 4 mi. E of Autryville","Sampson",35.01618,-78.572119,"NC","3/30/1937","ECR 0967","Edward Raney;  Ernest Lachner;  Roman Pfeiffer"
"CUMV","44451","4","Fundulidae","Fundulus lineolatus","Gum Swamp, trib. of Little PeeDee R., 5.4 mi. S of Laurinburg on US 15A","Scotland",34.71213,-79.51661,"NC","12/26/1945","RDS 1200","Royal Suttkus;  Charles Cole;  Ronald Wigley;  Ralph Yerger"
"CUMV","25958","1","Fundulidae","Fundulus lineolatus","Shoehill Cr., 2 mi. SW of Wagram on US 15A","Scotland",34.866572,-79.385538,"NC","3/29/1950","ECR 2507","Edward Raney;  Charles Cole;  Davis;  E. Deubler; et al."
"CUMV","31764","1","Fundulidae","Fundulus lineolatus","Brooks Swamp, 3.5 mi. N of Mt. Olive on US 117, at jct. of NC 55 & US 115","Wayne",35.243478,-78.056892,"NC","4/3/1954","BBC 434","Bruce Collette;  H. Howard"
"CUMV","25292","1","Fundulidae","Fundulus rathbuni","Haw R. at Atlamahaw on Rt. 87","Alamance",36.182637,-79.509898,"NC","6/23/1942","ECR 1184","Edward Raney;  Ernest Lachner;  Robert Ross"
"CUMV","19319","25","Fundulidae","Fundulus rathbuni","Gobble Cr. 2 mi. S of Rt. 64 crossing of Yadkin R.","Davidson",35.837188,-80.371266,"NC","10/11/1942","EEB 46-32","E. Brown"
"CUMV","31756","2","Fundulidae","Fundulus rathbuni","Haw R. on NC 58, 3.1 mi. S of jct. with US 156","Guilford",36.068986,-79.360512,"NC","3/29/1954","BBC 406","Bruce Collette;  H. Howard"
"CUMV","34551","3","Fundulidae","Fundulus rathbuni","Haw R., 1.8 mi. N of Oak Ridge on NC 68","Guilford",36.19788,-79.985168,"NC","9/18/1955","BBC 564","Bruce Collette;  Rudolf Miller;  John Ramsey"
"CUMV","25293","16","Fundulidae","Fundulus rathbuni","Haw R., 3.5 mi. S of Stokesdale on Rt. 68","Guilford",36.19788,-79.985168,"NC","6/23/1942","ECR 1181","Edward Raney;  Robert Ross;  Ernest Lachner"
"CUMV","3536","25","Fundulidae","Fundulus rathbuni","Trib. of South Buffalo Cr., 5 mi. SW of Greensboro","Guilford",36.049699,-79.874567,"NC","12/24/1930","EEB 34DEC25","E. Brown"
"CUMV","34628","27","Fundulidae","Fundulus rathbuni","Morgan Cr. (trib. New Hope R.), 2.4 mi. SW of jct. with NC 54, on bypass of US 15 & 501","Orange",35.891508,-79.058789,"NC","9/16/1955","BBC 556","Bruce Collette;  Rudolf Miller;  John Ramsey"
"CUMV","14093","25","Fundulidae","Fundulus rathbuni","Morgan Cr. at Mason Farm, 1 mi. below Chapel Hill","Orange",35.891508,-79.058789,"NC","3/31/1945","HEE 1540","Edward Raney;  Royal Suttkus;  Howard Evans;  Robert Roecker; et al."
