"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14"
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","060511","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","060825","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","070320","1902000000",,
"NCDMF",,6,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020122","1902000000",,
"NCDMF",,55,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020220","1902000000",,
"NCDMF",,122,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020320","1902000000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020418","1902000000",,
"NCDMF",,12,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020509","1902000000",,
"NCDMF",,9,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020627","1902000000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","020906","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","021017","1902000000",,
"NCDMF",,7,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030213","1902000000",,
"NCDMF",,18,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030319","1902000000",,
"NCDMF",,125,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030415","1902000000",,
"NCDMF",,180,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030507","1902000000",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030701","1902000000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","030805","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","031006","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","040113","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","040428","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","040611","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","050214","1902000000",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","050511","1902000000",,
"NCDMF",,53,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","060210","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","060609","1902000000",,
"NCDMF",,7,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","070226","1902000000",,
"NCDMF",,44,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","070319","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","070423","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","070515","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","070614","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020208","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020307","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020403","1902030100",,
"NCDMF",,8,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020503","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020708","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","020906","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","021206","1902030100",,
"NCDMF",,115,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","030213","1902030100",,
"NCDMF",,40,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","030312","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","030417","1902030100",,
"NCDMF",,9,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","030807","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","031006","1902030100",,
"NCDMF",,8,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.266,-77.947,"NC","040317","1902030100",,
"NCDMF",,8,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","030711","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","031008","1902030100",,
"NCDMF",,10,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","040218","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","040322","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","040514","1902030100",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","040820","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","050121","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","050304","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","050404","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","051123","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","061030","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR2, SMITH CREEK TO LANE FERRY",,34.26694,-77.94722,"NC","061103","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF1, TOOMER’S CREEK",,34.267,-77.984,"NC","020619","1902010103",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","030911","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","030919","1902010101",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","031002","1902010101",,
"NCDMF",,111,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","040414","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","040702","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","050107","1902010101",,
"NCDMF",,20,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","050504","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","060110","1902010101",,
"NCDMF",,10,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","060406","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","060412","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","060605","1902010101",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","061004","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.28111,-78.00556,"NC","061102","1902010101",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","020115","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","020314","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","020411","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","030211","1902010101",,
"NCDMF",,7,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","030507","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","UCF2, INDIAN CREEK",,34.286,-78.008,"NC","030708","1902010101",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020109","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020307","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020403","1902030100",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020503","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020708","1902030100",,
"NCDMF",,6,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020814","1902030100",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","020905","1902030100",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","021120","1902030100",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","021209","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030108","1902030100",,
"NCDMF",,16,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030214","1902030100",,
"NCDMF",,21,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030312","1902030100",,
"NCDMF",,16,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030417","1902030100",,
"NCDMF",,13,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030508","1902030100",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030707","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","030910","1902030100",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","031009","1902030100",,
"NCDMF",,12,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","040128","1902030100",,
"NCDMF",,11,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","040317","1902030100",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","NE42, SMITH CREEK TO LANE FERRY",,34.332,-77.98,"NC","040407","1902030100",,
