"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",35.00222,-76.72194,"NC","000418","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42722,-76.87194,"NC","000425","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43167,-76.86722,"NC","000425","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43361,-76.89,"NC","000425","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.51111,-77.02444,"NC","000425","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.52889,-77.05083,"NC","000425","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.53083,-77.04778,"NC","000425","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MORGAN BAY","",34.70417,-77.4075,"NC","000425","1201020300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.99806,-76.86083,"NC","000427","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.00556,-76.88278,"NC","000427","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.07056,-76.99139,"NC","000502","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPPER NEW RIVER","",34.73583,-77.43694,"NC","000503","1201030000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45944,-76.8925,"NC","000504","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","BLOUNTS BAY","",35.4375,-77.95972,"NC","000504","528290000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.34333,-76.65417,"NC","000509","528000100","",,,,,,,,,,,,,,,,,,,,,,
